No.,Nama Instagram,Tweet,Sentimen,Sarkas,Sentimen_Sarkas
1,@fenninbl,"""Makan nasi padang aja sih jadi begini badannya""",1,Sarkas,-1
2,@rani__ara,"""Hei kalian gaboleh gitu sama si lutfi, dia ganteng cuman otaknya aja kurang ganteng, dia skrng udah banyak yang endorse btw""",1,Sarkas,-1
3,@yiunita,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",1,Tidak,1
4,@rubybee_16,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",-1,,-1
5,@chenul98,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",-1,,-1
6,@sns_sub,"""Apaan sih lutfi sok ganteng""",-1,,-1
7,@depoy110,"""Udah ganteng sekarang banyak yang endorse tapi sayang otaknya gatau dimana lu lutfi""",1,Sarkas,-1
8,@farsyahl_,"""Idih lutfi, asik banget ngobrol sama lu kayanya, kalo gua ada di posisi om ded gua dah gua smekdon @lutfiagizal""",1,Sarkas,-1
9,@yudharamm,"""Wow sekarang pindah jadi psikolog, alhamdulillah tersadar karena ga laku """,1,Sarkas,-1
10,@taniaaw123,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap disitu aja, kalo suara lebih baik diem ga sih?""",1,Sarkas,-1
11,@e.fril,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",-1,,-1
12,@bahasa.bayi.planet,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",-1,,-1
13,@khanayarudinita,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",-1,,-1
14,@nurjanah.hani,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",-1,,-1
15,@mubarakbasslom,"""Lo sintingnya udah tingkat dewa""",-1,,-1
16,@erma_09,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",-1,,-1
17,@rezaadhitia_,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain, WALAU GADA HARAPAN""",1,Sarkas,-1
18,@maya_purple14,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",1,Sarkas,-1
19,@adiknya_wwatch.ig,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih , kenapa yaa ??""",1,Sarkas,-1
20,@ha_ri2431,"""Di maafin aaa… semoga dia jera untuk kedepannya…""",1,Sarkas,-1
21,@rurrizki_maulana,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",-1,,-1
22,@lala.laxii,"""bisa mati aja ga? gedeg gua liat lu lutfy""",-1,,-1
23,@menisa6634,"""Woy Lutfi asu , sok asik Lo ANJING !""",-1,,-1
24,@rizalandriawanp,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",-1,,-1
25,@lennyliando,"""Ibu kamu cantik ya? Pantesan anaknya kyk gini modelannya""",1,Sarkas,-1
26,@tatianayaaaa,"""Anaknya udh pinter, tingginya azka aj melebihi mamanya..""",1,Tidak,1
27,@ferlista234,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",1,Tidak,1
28,@sekiya.sat,"""Kok bisa pinter gini sih sukadeh""",1,Tidak,1
29,@emi_muslikah,"""Ancur hidup lu kalau sama dia… Sumpah..""",-1,,-1
30,@tetikasmy7615,"""serem banget muka lo mel kayak ayam potong merah banget""",-1,,-1
31,@juniartibs,"""Gila Netizen pada sempurna ngehina orang terus""",1,Sarkas,-1
32,@anisa_lubis12,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya, kalo wajah lu gausah ditanya ga ada bedanya""",1,Sarkas,-1
33,@teukualmunawir,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",1,Sarkas,-1
34,@rubybee_16,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",1,Sarkas,-1
35,@fitrysyakieb,"""Itu tangan apa paha haha….""",1,Sarkas,-1
36,@moca_caca_,"""salfok sama kaki, tapi cantik banget asli""",1,Sarkas,-1
37,@sufiliams,"""atas bawah hitam putih, kek kopi susu manis""",1,Sarkas,-1
38,@hamzahifidafadafa,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",1,Sarkas,-1
39,@tiara_amd,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",1,Sarkas,-1
40,@xcnadilax,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",1,Tidak,1
41,@ghy.14,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoga lancar terusssss""",1,Sarkas,-1
42,@syi_faalatas,"""Apaan sih gak jelas hidupnya""",-1,,-1
43,@wina_lim0922,"""Ketiaknya habis di amplas mel, alus banget""",1,Sarkas,-1
44,@rika_chuby,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",1,Sarkas,-1
45,@_simaistia25bu,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",1,Sarkas,-1
46,@sasqiaraz,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",1,Sarkas,-1
47,@swity_nananana,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",-1,,-1
48,@dellasss1,"""muka lu sensual tapi norak kenapa dah""",-1,,-1
49,@bundafahryfahry,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",1,Tidak,1
50,@jeenida_abdullah_aras,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",1,Tidak,1
51,@dessy_______,"""Manusia apa bidadari sih herann deh cantik terus ????""",1,Tidak,1
52,@ferd.iansyah454,"""jari jari kaki kayak jarinya tukang panggul""",-1,,-1
53,@octaviandiajeng,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",1,Sarkas,-1
54,@rubybee_16,"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",-1,,-1
55,@__yohanatan__,"""Bagusan foto pakai masker drpd gak pakai masker""",1,Sarkas,-1
56,@hartaman_soe,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",-1,,-1
57,@maskersssssj,"""Bra nya kedodoran kak make ukuran gede yaa""",-1,,-1
58,@reniaulia225,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",1,Sarkas,-1
59,@anggrainikoenang,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",-1,,-1
60,@hugoovianaaa,"""Yang merasa peliharaannya lepas, tolong diangkut""",1,Sarkas,-1
61,@yudharamm,"""Wow sekarang pindah jadi psikolog, alhamdulillah tersadar karena ga laku """,1,Sarkas,-1
62,@taniaaw123,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap disitu aja, kalo suara lebih baik diem ga sih?""",1,Sarkas,-1
63,@eulisriskasbla,"""Si anjing ketika berfoto dengan si anjing""",1,Sarkas,-1
64,@alyafdhlh_,"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",1,Sarkas,-1
65,@farhanaja_,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",1,Sarkas,-1
